,PASSENGERS,Passenger Miles,CARRIER_NAME
127,152440,108536855,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus Total"
128,149938,147275158,VRG Linhas Aereas S A Total
129,143539,374349712,Taca Peru Total
130,143086,516397374,Royal Air Maroc Total
131,139367,209886702,Aerovias de Intergracian Regional Total
132,138364,503984448,Elysair d/b/a L'Avion Total
133,135305,516729795,Air Japan Co Total
134,133170,395514900,Tame Linea Aerea del Ecuador Tme EP Total
135,129197,329969114,WOW Air ehf Total
136,119087,666590852,Kuwait Airways Corp. Total
137,117366,8614276,Grant Aviation Total
138,111863,39965415,Eastern Airlines Group Inc. Total
139,110417,164079662,"Avior Airlines, C.A. Total"
140,109250,233983873,"Dynamic Airways, LLC Total"
141,106119,13708320,"SeaPort Airlines, Inc. d/b/a Wings of Alaska Total"
142,104992,262455264,Sata Internacional Total
143,104032,1798339,Star Marianas Air Inc. Total
144,100714,427372366,Britannia Airways Ltd. Total
145,100537,27477877,Great Lakes Airlines Total
146,99356,466377064,Ukraine International Airlines Total
147,98464,125742326,Insel Air International B V Total
148,94549,481113598,Transaero Airlines Total
149,90381,36139199,Vision Airlines Total
150,87887,2578054,Vieques Air Link Inc. Total
151,80779,2716212,Island Airlines LLC Total
152,80602,369167162,TUI Airlines Nederland B.V. Total
153,80332,6230501,Polynesian Airlines Ltd. Total
154,75567,7923514,Bering Air Inc. Total
155,72561,16539672,"Multi-Aero, Inc. d/b/a Air Choice One Total"
156,71766,4711422,Kenmore Air Harbor Total
157,69447,372518007,Edelweiss Air Ag Total
158,68613,482451300,Thai Airways International Ltd. Total
159,66328,75149624,Inselair Aruba NV Total
160,66274,1853991,"Air Charter, Inc d/b/a Air Flamenco Total"
161,58986,44875490,Falcon Air Express Total
162,57167,264420351,TUI Airlines Belgium N.V. d/b/a Jetairfly Total
163,57056,251951650,Meridiana S.p.A Total
164,54210,91390047,Fly Jamaica Airways Limited Total
165,52498,247658731,Atlas Air Inc. Total
166,52445,2370298,Yute Air Aka Flight Alaska Total
167,49679,76739883,Surinam Airways Limited Total
168,45542,17040632,Ultimate JetCharters LLC dba Ultimate Air Shuttle Total
169,43969,11859166,Via Airlines d/b/a Charter Air Transport Total
170,43730,305716486,Pakistan International Airlines Total
171,41650,8425295,Wright Air Service Total
172,40109,33552160,Songbird Airways Inc. Total
173,39593,2507063,Kalinin Aviation LLC d/b/a Alaska Seaplanes Total
174,36972,1820562,"PM Air, LLC Total"
175,34766,182521500,Arik Air International Total
176,32657,8381517,Boutique Air Total
177,31046,181029226,Azerbaijan Airlines CJSC Total
178,29055,6074668,Tradewind Aviation Total
179,27593,161572707,Uzbekistan Airways Total
180,26853,3520257,Warbelow Total
181,26335,89316862,Transportes Aereos De Cabo Total
182,23976,5487484,Corporate Flight Management Inc. Total
183,23958,1078110,City Wings Inc dba Seaflight Total
184,23473,2613944,Sun Air Express LLC dba Sun Air International Total
185,23350,396950,New England Airlines Inc. Total
186,21213,22170707,Sky King Inc. Total
187,20828,193310,Venture Travel LLC d/b/a Taquan Air Service Total
188,17188,658638,"Pacific Airways, Inc. Total"
189,17146,966985,Scott Air LLC dba Island Air Express Total
190,15453,11540200,Orange Air Total
191,13689,846147,Katmai Air Total
192,13107,2617436,Iliamna Air Taxi Total
193,12527,707678,Island Air Service Total
194,10402,7866820,Ameristar Air Cargo Total
195,10203,324735,Makani Kai Air Charters Total
196,10071,4770078,Transportes Aeromar S.A de C.V Total
197,9799,3645158,Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane Total
198,9765,220077,Smokey Bay Air Inc. Total
199,9347,18975689,"KaiserAir, Inc. Total"
200,8997,41813286,Privatair Total
201,8299,256452,Homer Air Total
202,7689,739496,Air Sunshine Inc. Total
203,7672,705664,Servant Air Inc. Total
204,6711,1465614,"Charter Air Transport, Inc. Total"
205,6427,277683,Spernak Airways Inc. Total
206,6261,8389393,Avjet Corporation Total
207,4119,168477,Air Excursions LLC Total
208,4060,892886,Menagerie Enterprises Inc d/b/a Monarch Air Total
209,3778,5179638,Bradley Air Services Ltd. Total
210,3763,2004234,Alaska Central Express Total
211,3339,10972557,Titan Airways Total
212,3013,524307,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo Total
213,2451,2352801,Chartright Air Inc. Total
214,2214,1871902,London Air Services Limited Total
215,1840,1086045,Nolinor Aviation Total
216,1740,310882,Arctic Transportation Total
217,1730,8272609,VistaJet Limited Total
218,1724,85676,West Isle Air Total
219,1647,97173,Grand Canyon Helicopters Total
220,1342,4447634,Jet2.com Total
221,1084,65997,Tanana Air Service Total
222,880,1723040,Air Company Yakutia Total
223,860,1377373,Flair Airlines Ltd. Total
224,723,93659,40-Mile Air Total
225,572,1490694,TAG Aviation (UK) Ltd. Total
226,457,59446,"Reeve Air Alaska, LLC Total"
227,420,1429583,Gainjet Aviation SA Total
228,239,49224,Pacific Wings Airlines Total
229,231,974766,Air Alsie A/S Total
230,220,960139,CAT Aviation Total
231,218,1046165,Blue Jet SP Z o o Total
232,215,922472,"Global Jet Luxembourg, Sa Total"
233,208,742005,TAG Aviation Espana S.L. Total
234,169,543404,Acropolis Aviation Ltd. Total
235,153,622552,Unijet Total
236,141,45200,Propair Total
237,138,11071,Erickson Helicopters Total
238,130,663022,Comlux Aruba NV Total
239,114,12547,Ellis Air Taxi Inc. Total
240,105,444573,Albinati Aeronautics SA Total
241,95,407465,ACM AIR CHARTER GmbH Total
242,88,274018,"Comlux Malta, Ltd. Total"
243,87,387156,DCA Total
244,84,407407,G5 Executive Ag Total
245,75,172245,ABS JETS A.S Total
246,67,310341,VistaJet Luftfahrtunternehmen GmbH Total
247,51,1404,Ward Air Total
248,48,192666,Dassault Falcon Service Total
249,48,232833,Tyrolean Jet Service Total
250,39,158780,International Jet Management GmbH Total
251,38,180012,Amira Air GmbH Total
252,35,186375,Swiss Air Ambulance Total
253,25,102446,TAG Aviation S.A. Total
254,24,125922,Mjet GmbH Total
255,19,80639,Albinati aviation Limited Total
256,11,34239,JetClub AG Total
257,10,46664,"Global Jet Austria, GmbH Total"
258,4,16148,Bertelsmann Aviation GmbH Total
