"PASSENGERS","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
0.00,"CV",12892,"LAX",13560,"MXP",
0.00,"CV",12892,"LAX",14115,"PIK",
0.00,"CV",12917,"LCK",13113,"LUX",
0.00,"CV",13113,"LUX",10397,"ATL",
0.00,"CV",13113,"LUX",10397,"ATL",
0.00,"CV",13113,"LUX",11298,"DFW",
0.00,"CV",13113,"LUX",12217,"HSV",
0.00,"CV",13113,"LUX",12266,"IAH",
0.00,"6R",11193,"CVG",11874,"GDL",
0.00,"6R",11193,"CVG",13252,"MEX",
0.00,"6R",11874,"GDL",11193,"CVG",
0.00,"6R",11874,"GDL",12892,"LAX",
0.00,"6R",12892,"LAX",11874,"GDL",
0.00,"6R",12892,"LAX",12010,"GUA",
0.00,"6R",12892,"LAX",13252,"MEX",
0.00,"6R",13252,"MEX",11193,"CVG",
0.00,"6R",13252,"MEX",12892,"LAX",
0.00,"6R",13252,"MEX",13303,"MIA",
0.00,"6R",13252,"MEX",13930,"ORD",
0.00,"6R",13303,"MIA",12010,"GUA",
0.00,"6R",13303,"MIA",13252,"MEX",
0.00,"6R",13306,"MID",13303,"MIA",
0.00,"6R",13930,"ORD",13252,"MEX",
0.00,"6R",14838,"SJO",13303,"MIA",
0.00,"NLQ",14027,"PBI",16128,"YMX",
0.00,"O6",10711,"BOG",13303,"MIA",
0.00,"O6",13303,"MIA",11204,"CWB",
0.00,"O6",13303,"MIA",13166,"MAO",
0.00,"SQ",10397,"ATL",10752,"BRU",
0.00,"SQ",10397,"ATL",14824,"SIN",
0.00,"SQ",11298,"DFW",10716,"BOM",
0.00,"SQ",11298,"DFW",10752,"BRU",
0.00,"SQ",11298,"DFW",14807,"SHJ",
0.00,"SQ",11298,"DFW",14824,"SIN",
0.00,"SQ",12143,"HKG",11298,"DFW",
0.00,"SQ",12143,"HKG",12892,"LAX",
0.00,"SQ",12892,"LAX",10716,"BOM",
0.00,"SQ",12892,"LAX",10752,"BRU",
0.00,"SQ",12892,"LAX",14824,"SIN",
0.00,"SQ",14824,"SIN",11298,"DFW",
0.00,"TK",10397,"ATL",12395,"IST",
0.00,"TK",12266,"IAH",12395,"IST",
0.00,"TK",12395,"IST",10397,"ATL",
0.00,"TK",12395,"IST",12266,"IAH",
0.00,"TK",12395,"IST",12478,"JFK",
0.00,"TK",12395,"IST",13303,"MIA",
0.00,"TK",12395,"IST",13930,"ORD",
0.00,"TK",12478,"JFK",12395,"IST",
0.00,"TK",13303,"MIA",12395,"IST",
0.00,"TK",13930,"ORD",12395,"IST",
0.00,"VIQ",10870,"CAG",13930,"ORD",
0.00,"VIQ",12266,"IAH",10711,"BOG",
0.00,"5Y",10299,"ANC",12067,"HAN",
0.00,"5Y",10299,"ANC",12115,"HGH",
0.00,"5Y",10299,"ANC",12143,"HKG",
0.00,"5Y",10299,"ANC",12277,"ICN",
0.00,"5Y",10299,"ANC",13694,"NGO",
0.00,"5Y",10299,"ANC",13744,"NRT",
0.00,"5Y",10559,"BFI",15306,"TPE",
0.00,"5Y",10711,"BOG",13303,"MIA",
0.00,"5Y",10790,"BUD",12917,"LCK",
0.00,"5Y",10994,"CHS",15129,"TAR",
0.00,"5Y",11193,"CVG",10752,"BRU",
0.00,"5Y",11193,"CVG",12277,"ICN",
0.00,"5Y",11193,"CVG",16128,"YMX",
0.00,"5Y",11259,"DAL",16232,"YWG",
0.00,"5Y",11874,"GDL",12217,"HSV",
0.00,"5Y",12010,"GUA",12266,"IAH",
0.00,"5Y",12016,"GUM",12143,"HKG",
0.00,"5Y",12067,"HAN",10299,"ANC",
0.00,"5Y",12115,"HGH",10299,"ANC",
0.00,"5Y",12125,"HHN",12266,"IAH",
0.00,"5Y",12143,"HKG",10299,"ANC",
0.00,"5Y",12173,"HNL",10244,"AKL",
0.00,"5Y",12173,"HNL",15092,"SYD",
0.00,"5Y",12217,"HSV",12125,"HHN",
0.00,"5Y",12217,"HSV",13113,"LUX",
0.00,"5Y",12217,"HSV",13252,"MEX",
0.00,"5Y",12217,"HSV",16477,"QRO",
0.00,"5Y",12217,"HSV",15018,"STN",
0.00,"5Y",12266,"IAH",12125,"HHN",
0.00,"5Y",12266,"IAH",16257,"YYC",
0.00,"5Y",12277,"ICN",10299,"ANC",
0.00,"5Y",12277,"ICN",12892,"LAX",
0.00,"5Y",12478,"JFK",12125,"HHN",
0.00,"5Y",12478,"JFK",15256,"TLS",
0.00,"5Y",12892,"LAX",12143,"HKG",
0.00,"5Y",12892,"LAX",12277,"ICN",
0.00,"5Y",12892,"LAX",13744,"NRT",
0.00,"5Y",12986,"LIM",13303,"MIA",
0.00,"5Y",13113,"LUX",12217,"HSV",
0.00,"5Y",13252,"MEX",13303,"MIA",
0.00,"5Y",13303,"MIA",10292,"AMS",
0.00,"5Y",13303,"MIA",10711,"BOG",
0.00,"5Y",13303,"MIA",11625,"EZE",
0.00,"5Y",13303,"MIA",12986,"LIM",
0.00,"5Y",13303,"MIA",13166,"MAO",
0.00,"5Y",13303,"MIA",13252,"MEX",
0.00,"5Y",13303,"MIA",14677,"SAL",
0.00,"5Y",13303,"MIA",14717,"SCL",
0.00,"5Y",13303,"MIA",15455,"UIO",
0.00,"5Y",13303,"MIA",15567,"VCP",
0.00,"5Y",13303,"MIA",16257,"YYC",
0.00,"5Y",13303,"MIA",16286,"ZAZ",
0.00,"5Y",13694,"NGO",10299,"ANC",
0.00,"5Y",13694,"NGO",11193,"CVG",
0.00,"5Y",13694,"NGO",14004,"PAE",
0.00,"5Y",13744,"NRT",10299,"ANC",
0.00,"5Y",13744,"NRT",12892,"LAX",
0.00,"5Y",13744,"NRT",13891,"ONT",
0.00,"5Y",13928,"ORB",10299,"ANC",
0.00,"5Y",13930,"ORD",12277,"ICN",
0.00,"5Y",13930,"ORD",14717,"SCL",
0.00,"5Y",14004,"PAE",13694,"NGO",
0.00,"5Y",14057,"PDX",12143,"HKG",
0.00,"5Y",14309,"PVG",10299,"ANC",
0.00,"5Y",14309,"PVG",12892,"LAX",
0.00,"5Y",14677,"SAL",13303,"MIA",
0.00,"5Y",14717,"SCL",12266,"IAH",
0.00,"5Y",14717,"SCL",13303,"MIA",
0.00,"5Y",14747,"SEA",12277,"ICN",
0.00,"5Y",14771,"SFO",12277,"ICN",
0.00,"5Y",14771,"SFO",13744,"NRT",
0.00,"5Y",15129,"TAR",10994,"CHS",
0.00,"5Y",15129,"TAR",12478,"JFK",
0.00,"5Y",15455,"UIO",13303,"MIA",
0.00,"5Y",15567,"VCP",13303,"MIA",
0.00,"5Y",15872,"WUX",10299,"ANC",
0.00,"5Y",16128,"YMX",11193,"CVG",
0.00,"5Y",16229,"YVR",11259,"DAL",
0.00,"5Y",16257,"YYC",12266,"IAH",
0.00,"5Y",16257,"YYC",13303,"MIA",
0.00,"5Y",16286,"ZAZ",13303,"MIA",
0.00,"7H",10299,"ANC",14278,"PTP",
0.00,"7H",14709,"SCC",14278,"PTP",
0.00,"KD",10299,"ANC",12143,"HKG",
0.00,"KD",10299,"ANC",13744,"NRT",
0.00,"KD",10711,"BOG",13303,"MIA",
0.00,"KD",11375,"DOV",12125,"HHN",
0.00,"KD",11375,"DOV",12957,"LGG",
0.00,"KD",12143,"HKG",10299,"ANC",
0.00,"KD",12277,"ICN",10299,"ANC",
0.00,"KD",12957,"LGG",11375,"DOV",
0.00,"KD",12957,"LGG",14814,"SHV",
0.00,"KD",13303,"MIA",10711,"BOG",
0.00,"KD",13303,"MIA",15455,"UIO",
0.00,"KD",13744,"NRT",10299,"ANC",
